activity_id,date,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,grade_adjusted_distance_km,pace_min_km,pace_sec_km,week
8771238481,2023-03-24 19:59:41,Corridinha c/ reri,9.2,6051,3246.0,2.836,41.0,,,,,9432.6,5.880434782608696,352.82608695652175,2023-03-20/2023-03-26
8829163174,2023-04-04 08:00:17,Corrida matinal,4.61,1665,1531.0,3.013,14.2,,,,,4642.0,5.5350686912509035,332.1041214750542,2023-04-03/2023-04-09
8970692971,2023-04-28 08:04:07,Parque das Graças ,3.26,1014,939.0,3.474,2.4,,,,,3254.2,4.800613496932516,288.03680981595096,2023-04-24/2023-04-30
9038226577,2023-05-09 08:22:34,Corrida matinal com Uly e Toni,7.43,3053,3045.0,2.44,34.2,,,,,7535.3,6.830417227456259,409.8250336473755,2023-05-08/2023-05-14
9355138685,2023-06-29 08:07:29,Corridinha matinal com Uly ,5.05,2209,1571.0,3.218,8.3,,,,,5074.7,5.184818481848185,311.0891089108911,2023-06-26/2023-07-02
9382776732,2023-07-03 19:33:14,Corrida com Jah,4.25,1786,1235.0,3.443,33.5,,,,,4364.6,4.8431372549019605,290.5882352941176,2023-07-03/2023-07-09
9424507597,2023-07-10 13:57:29,Beira rio,5.1,1601,1474.0,3.464,2.4,,,,,5107.2,4.816993464052288,289.0196078431373,2023-07-10/2023-07-16
9474086616,2023-07-18 11:41:29,Vida fit,7.23,2651,2342.0,3.089,19.1,,,,,7263.9,5.398801290917473,323.92807745504837,2023-07-17/2023-07-23
9548700401,2023-07-30 09:41:08,Corridona matinal,10.13,3659,3489.0,2.906,28.9,,,,,10246.8,5.740375123395853,344.4225074037512,2023-07-24/2023-07-30
9739468235,2023-08-28 22:10:42,To de volta,7.16,2803,2652.0,2.7,14.0,,,,,7203.2,6.1731843575419,370.39106145251395,2023-08-28/2023-09-03
9752553085,2023-08-30 22:13:19,Tamo indo,8.04,3012,2879.0,2.796,23.4,,,,,8130.5,5.968076285240465,358.0845771144279,2023-08-28/2023-09-03
9813954514,2023-09-09 10:32:55,Corrida matinal,12.04,4308,4285.0,2.812,155.3,,,,,12962.1,5.931616832779624,355.89700996677743,2023-09-04/2023-09-10
9859241744,2023-09-16 10:14:29,Corrida matinal,5.0,1876,1781.0,2.81,10.7,,,,,5039.8,5.9366666666666665,356.2,2023-09-11/2023-09-17
9933733089,2023-09-27 22:40:28,"Fiz esse caminho duas vezes, mas esqueci de gravar a primeira",2.52,993,827.0,3.056,6.3,,,,,2539.5,5.469576719576719,328.1746031746032,2023-09-25/2023-10-01
9978090810,2023-10-04 21:56:43,Corrida ao entardecer,1.64,432,432.0,3.809,3.0,,146.0,,,1648.6,4.390243902439025,263.4146341463415,2023-10-02/2023-10-08
10138751712,2023-10-31 20:47:18,Trotezinho,8.26,4388,3440.0,2.401,21.0,,,,,8294.5,6.941081517352704,416.4648910411622,2023-10-30/2023-11-05
10164816899,2023-11-05 13:07:22,Com a irma,4.03,1657,1415.0,2.853,6.8,,,,,4048.9,5.851943755169561,351.1166253101737,2023-10-30/2023-11-05
10179014518,2023-11-07 20:29:04,Tone tony morreu,4.4,2112,1749.0,2.519,2.0,,,,,4405.7,6.624999999999999,397.49999999999994,2023-11-06/2023-11-12
10324324575,2023-12-03 19:56:52,Afternoon Run,3.29,4408,1075.0,3.062,4.0,75.0,335.0,,,3303.0,5.445795339412361,326.7477203647416,2023-11-27/2023-12-03
10339612365,2023-12-06 18:34:39,Afternoon Run,9.99,5695,3730.0,2.679,0.0,73.0,721.0,,,10015.5,6.222889556222889,373.37337337337334,2023-12-04/2023-12-10
10401699904,2023-12-18 20:37:51,Afternoon Run,8.66,3659,3201.0,2.708,2.0,74.0,667.0,,,8680.4,6.160508083140877,369.6304849884526,2023-12-18/2023-12-24
10456115180,2023-12-29 12:50:31,Corrida matinal,8.07,2968,2679.0,3.012,139.7,,,,,9204.9,5.532837670384138,331.97026022304834,2023-12-25/2023-12-31
10686779085,2024-02-03 11:58:12,Corrida matinal,3.92,1294,1254.0,3.132,7.7,,,,,3934.6,5.331632653061225,319.8979591836735,2024-01-29/2024-02-04
10809815129,2024-02-21 18:53:09,Corrida vespertina,7.4,3888,2605.0,2.841,11.0,,,,,7412.0,5.867117117117116,352.02702702702703,2024-02-19/2024-02-25
10988955124,2024-03-18 21:16:35,Evening Run,1.22,430,352.0,3.476,0.0,78.0,53.0,,,1220.3,4.808743169398907,288.5245901639344,2024-03-18/2024-03-24
11116890855,2024-04-06 08:08:03,Morning Run,10.07,3957,3696.0,2.724,15.0,75.0,754.0,,,10107.4,6.117179741807348,367.0307845084409,2024-04-01/2024-04-07
11137065793,2024-04-08 18:52:57,Trotezinho com Miguel,7.37,3001,2805.0,2.629,10.2,,,,,7408.1,6.343283582089552,380.5970149253731,2024-04-08/2024-04-14
11201132400,2024-04-17 09:42:37,Morning Run,1.7,1005,542.0,3.139,0.0,76.0,96.0,,,1727.1,5.313725490196078,318.8235294117647,2024-04-15/2024-04-21
11215771444,2024-04-19 10:22:54,Morning Run,4.64,1652,1644.0,2.827,4.0,75.0,333.0,,,4665.2,5.905172413793103,354.3103448275862,2024-04-15/2024-04-21
11237488695,2024-04-22 09:29:19,Morning Run,9.12,3333,3274.0,2.786,13.0,75.0,684.0,,,9137.7,5.983187134502925,358.99122807017545,2024-04-22/2024-04-28
11256503474,2024-04-24 19:13:19,Afternoon Run,9.19,3452,3231.0,2.846,16.0,78.0,681.0,,,9226.0,5.859630032644179,351.57780195865075,2024-04-22/2024-04-28
11308080298,2024-04-28 10:27:57,Morning Run,7.69,3019,2746.0,2.801,7.0,77.0,551.0,,,7694.0,5.951452102297355,357.0871261378413,2024-04-22/2024-04-28
11412664781,2024-05-14 22:11:44,Afternoon Run,15.19,5549,5428.0,2.8,26.0,77.0,1062.0,,,15235.6,5.955672591617293,357.34035549703754,2024-05-13/2024-05-19
11497809307,2024-05-25 22:19:57,Evening Run,9.94,3449,3449.0,2.883,26.0,78.0,764.0,,,10003.4,5.783031522468143,346.98189134808854,2024-05-20/2024-05-26
11578962095,2024-06-05 11:49:33,Morning Run,1.73,551,544.0,3.183,0.0,82.0,87.0,,,1735.7,5.240847784200385,314.4508670520231,2024-06-03/2024-06-09
11606532989,2024-06-07 11:40:56,Morning Run,4.75,1803,1780.0,2.671,8.0,75.0,356.0,,,4766.3,6.245614035087719,374.7368421052632,2024-06-03/2024-06-09
11606533139,2024-06-08 18:15:35,Afternoon Run,7.63,3000,2983.0,2.56,4.0,76.0,595.0,,,7639.7,6.515945827872434,390.956749672346,2024-06-03/2024-06-09
11621656502,2024-06-10 18:54:25,Afternoon Run,7.07,2763,2715.0,2.607,6.0,76.0,526.0,,,7085.5,6.4002828854314,384.016973125884,2024-06-10/2024-06-16
11634216846,2024-06-12 10:51:40,Morning Run,6.23,2503,2400.0,2.598,13.0,75.0,454.0,,,6267.7,6.420545746388442,385.23274478330654,2024-06-10/2024-06-16
11649987449,2024-06-14 11:47:36,Morning Run,4.54,1794,1752.0,2.592,2.0,74.0,335.0,,,4540.6,6.431718061674008,385.9030837004405,2024-06-10/2024-06-16
11657982085,2024-06-15 12:08:57,Morning Run,14.31,5401,5347.0,2.677,32.0,77.0,1023.0,,,14381.6,6.2275797810389,373.654786862334,2024-06-10/2024-06-16
11673215566,2024-06-17 13:17:41,Morning Run,6.62,2700,2683.0,2.47,9.0,73.0,532.0,,,6624.8,6.754783484390735,405.2870090634441,2024-06-17/2024-06-23
11687869357,2024-06-19 09:32:37,Morning Run,7.3,2884,2786.0,2.62,34.0,73.0,545.0,,,7394.4,6.360730593607306,381.64383561643837,2024-06-17/2024-06-23
11704539878,2024-06-21 12:25:45,Morning Run,6.92,2401,2284.0,3.03,9.0,78.0,486.0,,,6946.3,5.500963391136802,330.0578034682081,2024-06-17/2024-06-23
11712282656,2024-06-22 12:19:08,Morning Run,15.44,5965,5821.0,2.653,30.0,78.0,1154.0,,,15495.8,6.28346286701209,377.0077720207254,2024-06-17/2024-06-23
11730875995,2024-06-24 20:14:12,Afternoon Run,7.11,2701,2684.0,2.651,9.0,78.0,497.0,,,7144.5,6.291608063759963,377.49648382559775,2024-06-24/2024-06-30
11744026505,2024-06-26 12:13:21,Morning Run,8.38,3001,2935.0,2.858,9.0,78.0,593.0,,,8403.5,5.83731105807478,350.23866348448684,2024-06-24/2024-06-30
11758793882,2024-06-28 11:08:10,Corrida com gayao,2.82,970,942.0,2.995,2.0,79.0,187.0,,,2800.3,5.567375886524823,334.0425531914894,2024-06-24/2024-06-30
11765788869,2024-06-29 08:36:19,Morning Run,16.5,6300,6031.0,2.736,34.0,78.0,1193.0,,,16534.6,6.0919191919191915,365.5151515151515,2024-06-24/2024-06-30
11781819245,2024-07-01 12:13:18,Morning Run,6.82,2700,2689.0,2.539,17.0,77.0,499.0,,,6866.5,6.5713587487781036,394.2815249266862,2024-07-01/2024-07-07
11798891937,2024-07-03 13:41:06,Morning Run,9.12,3553,3453.0,2.642,2.0,78.0,657.0,,,9143.7,6.31030701754386,378.6184210526316,2024-07-01/2024-07-07
11813322775,2024-07-05 10:17:10,Morning Run,6.79,2647,2536.0,2.681,9.0,76.0,476.0,,,6821.7,6.2248404516445754,373.4904270986745,2024-07-01/2024-07-07
11822001917,2024-07-06 11:58:32,Morning Run,7.18,2400,2335.0,3.076,8.0,80.0,479.0,,,7196.4,5.4201485608170845,325.2089136490251,2024-07-01/2024-07-07
11837893985,2024-07-08 13:29:39,Morning Run,7.58,3000,2987.0,2.54,18.0,78.0,553.0,,,7627.5,6.567722075637643,394.0633245382586,2024-07-08/2024-07-14
11870323699,2024-07-10 18:31:04,Afternoon Run,6.6,2400,2339.0,2.824,2.0,79.0,455.0,,,6619.6,5.9065656565656575,354.39393939393943,2024-07-08/2024-07-14
11870325427,2024-07-12 13:14:05,Morning Run,8.17,3060,2937.0,2.785,4.0,79.0,576.0,,,8183.9,5.991432068543452,359.4859241126071,2024-07-08/2024-07-14
11876035152,2024-07-13 08:16:46,Morning Run,17.12,5917,5911.0,2.898,33.0,80.0,1142.0,,,17229.4,5.754478193146417,345.26869158878503,2024-07-08/2024-07-14
11896552212,2024-07-15 19:02:17,Afternoon Run,8.24,3000,2958.0,2.786,6.0,76.0,578.0,,,8263.1,5.983009708737864,358.9805825242718,2024-07-15/2024-07-21
11910740025,2024-07-17 12:53:31,Morning Run,4.35,1551,1551.0,2.81,2.0,80.0,293.0,,,4372.9,5.942528735632185,356.55172413793105,2024-07-15/2024-07-21
11927916793,2024-07-19 14:15:12,Lunch Run,4.6,1759,1731.0,2.658,7.0,75.0,342.0,,,4641.8,6.271739130434783,376.304347826087,2024-07-15/2024-07-21
12019004736,2024-07-29 20:58:43,Afternoon Run,6.68,2700,2628.0,2.542,8.0,73.0,497.0,,,6706.1,6.5568862275449105,393.41317365269464,2024-07-29/2024-08-04
12058085444,2024-08-02 21:02:42,Evening Run,6.52,2701,2577.0,2.531,4.0,76.0,500.0,,,6531.0,6.587423312883437,395.2453987730062,2024-07-29/2024-08-04
12058974048,2024-08-04 09:25:18,Morning Run,12.82,4691,4589.0,2.794,18.0,78.0,914.0,,,12871.3,5.965938637545502,357.9563182527301,2024-07-29/2024-08-04
12076559707,2024-08-06 10:58:51,Morning Run,10.01,3960,3690.0,2.714,20.0,78.0,715.0,,,10055.1,6.143856143856144,368.6313686313686,2024-08-05/2024-08-11
12085792401,2024-08-07 11:20:50,Morning Run,10.63,3689,3605.0,2.95,12.0,79.0,720.0,,,10656.9,5.652242082157416,339.1345249294449,2024-08-05/2024-08-11
12106265544,2024-08-09 21:08:12,Evening Run,6.6,2700,2555.0,2.585,11.0,77.0,492.0,,,6639.9,6.452020202020202,387.1212121212121,2024-08-05/2024-08-11
12109398293,2024-08-10 08:25:51,Morning Run,10.9,3930,3874.0,2.814,15.0,80.0,726.0,,,10946.8,5.92354740061162,355.4128440366972,2024-08-05/2024-08-11
12131752159,2024-08-12 21:34:31,Evening Run com Uly miguel e heitor,7.01,3277,2766.0,2.535,7.0,77.0,496.0,,,7037.6,6.576319543509273,394.5791726105564,2024-08-12/2024-08-18
12143966761,2024-08-14 08:10:55,Morning Run,14.03,6724,5195.0,2.701,35.0,80.0,934.0,,,14081.9,6.171299596103587,370.27797576621526,2024-08-12/2024-08-18
12165770774,2024-08-16 21:26:20,Evening Run,9.08,3660,3600.0,2.523,26.0,78.0,665.0,,,9120.5,6.607929515418502,396.4757709251101,2024-08-12/2024-08-18
12169157710,2024-08-17 09:13:37,Morning Run,12.56,4500,4427.0,2.838,13.0,80.0,864.0,,,12589.1,5.874469214437367,352.468152866242,2024-08-12/2024-08-18
12190950633,2024-08-19 21:17:53,Evening Run,8.63,3026,3000.0,2.878,2.0,79.0,592.0,,,8641.7,5.793742757821552,347.62456546929315,2024-08-19/2024-08-25
12224887560,2024-08-23 20:33:03,Afternoon Run,5.66,3128,2304.0,2.457,4.0,78.0,415.0,,,5706.3,6.784452296819787,407.0671378091873,2024-08-19/2024-08-25
12237399828,2024-08-25 08:42:22,Morning Run,21.0,7078,7078.0,2.968,96.0,80.0,1508.0,,,21169.8,5.617460317460318,337.04761904761904,2024-08-19/2024-08-25
12273084323,2024-08-29 13:08:38,Morning Run,8.06,2951,2911.0,2.771,22.0,78.0,595.0,,,8095.8,6.019437551695615,361.16625310173697,2024-08-26/2024-09-01
12310089421,2024-09-02 20:12:47,Afternoon Run,7.49,2784,2700.0,2.776,6.0,78.0,522.0,,,7517.7,6.008010680907877,360.4806408544726,2024-09-02/2024-09-08
12344123455,2024-09-06 19:43:32,Afternoon Run,18.01,7434,6875.0,2.62,22.0,78.0,1309.0,,,18038.5,6.362206181750878,381.73237090505273,2024-09-02/2024-09-08
12369803889,2024-09-09 21:05:30,Evening Run,6.42,3391,2699.0,2.381,7.0,76.0,449.0,,,6445.4,7.006749740394601,420.404984423676,2024-09-09/2024-09-15
12387178328,2024-09-11 20:31:02,Afternoon Run,8.28,3258,2916.0,2.84,4.0,77.0,567.0,,,8281.3,5.869565217391305,352.1739130434783,2024-09-09/2024-09-15
12440805887,2024-09-18 11:01:03,Morning Run,5.04,2315,2170.0,2.326,13.0,77.0,362.0,,,5070.1,7.175925925925926,430.55555555555554,2024-09-16/2024-09-22
