date,activity_id,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,pace_min_km,pace_sec_km,reference_pace_min_km,load_proxy,acute_load_7d,chronic_load_28d_avg_week,acwr,km_last_7d,km_last_28d,km_last_28d_avg_week,runs_last_28d,longest_run_last_28d,pace_trend_sec_per_week
2023-03-24 19:59:41,8771238481,Corridinha c/ reri,9.2,6051,3246.0,2.836,41.0,,,,,5.880434782608696,352.82608695652175,6.222889556222889,60.584646189762466,60.584646189762466,15.146161547440617,4.0,9.2,9.2,2.3,1.0,9.2,
2023-04-04 08:00:17,8829163174,Corrida matinal,4.61,1665,1531.0,3.013,14.2,,,,,5.5350686912509035,332.1041214750542,6.222889556222889,32.252404419050706,32.252404419050706,23.209262652203293,1.38963503073584,4.61,13.809999999999999,3.4524999999999997,2.0,9.2,
2023-04-28 08:04:07,8970692971,Parque das Graças ,3.26,1014,939.0,3.474,2.4,,,,,4.800613496932516,288.03680981595096,5.5350686912509035,20.804960141615652,20.804960141615652,13.26434114016659,1.568488017743666,3.26,7.87,1.9675,2.0,4.61,
2023-05-09 08:22:34,9038226577,Corrida matinal com Uly e Toni,7.43,3053,3045.0,2.44,34.2,,,,,6.830417227456259,409.8250336473755,5.7077517369298,35.4382061922745,35.4382061922745,14.060791583472538,2.5203564096583007,7.43,10.69,2.6725,2.0,7.43,4.0677386611164845
2023-06-29 08:07:29,9355138685,Corridinha matinal com Uly ,5.05,2209,1571.0,3.218,8.3,,,,,5.184818481848185,311.0891089108911,5.359943586549544,27.98196822616667,27.98196822616667,6.995492056541668,4.0,5.05,5.05,1.2625,1.0,5.05,-1.070802292002666
2023-07-03 19:33:14,9382776732,Corrida com Jah,4.25,1786,1235.0,3.443,33.5,,,,,4.8431372549019605,290.5882352941176,5.013977868375073,22.061090601183423,50.043058827350094,12.510764706837524,4.0,9.3,9.3,2.325,2.0,5.05,-4.380703813296726
2023-07-10 13:57:29,9424507597,Beira rio,5.1,1601,1474.0,3.464,2.4,,,,,4.816993464052288,289.0196078431373,4.8431372549019605,24.834056987788323,46.895147588971746,18.719278953784602,2.5051791634041884,9.35,14.399999999999999,3.5999999999999996,3.0,5.1,-4.928830630718461
2023-07-18 11:41:29,9474086616,Vida fit,7.23,2651,2342.0,3.089,19.1,,,,,5.398801290917473,323.92807745504837,5.013977868375073,33.66710547256394,33.66710547256394,27.13605532192559,1.240677949435095,7.23,21.63,5.4075,4.0,7.23,-3.6549494852996762
2023-07-30 09:41:08,9548700401,Corridona matinal,10.13,3659,3489.0,2.906,28.9,,,,,5.740375123395853,344.4225074037512,5.291809886382829,49.4171435458294,49.4171435458294,32.49484915184127,1.520768516724419,10.13,26.71,6.6775,4.0,10.13,-7.511841631569626
2023-08-28 22:10:42,9739468235,To de volta,7.16,2803,2652.0,2.7,14.0,,,,,6.1731843575419,370.39106145251395,5.291809886382829,32.47971740389603,32.47971740389603,8.119929350974008,4.0,7.16,7.16,1.79,1.0,7.16,9.125215160402059
2023-08-30 22:13:19,9752553085,Tamo indo,8.04,3012,2879.0,2.796,23.4,,,,,5.968076285240465,358.0845771144279,5.398801290917473,39.26597349722177,71.7456909011178,17.93642272527945,4.0,15.2,15.2,3.8,2.0,8.04,8.040893567225439
2023-09-09 10:32:55,9813954514,Corrida matinal,12.04,4308,4285.0,2.812,155.3,,,,,5.931616832779624,355.89700996677743,5.569588207156663,62.965052633795224,62.965052633795224,33.67768588372826,1.869637149392663,12.04,27.24,6.81,3.0,12.04,6.926325914856957
2023-09-16 10:14:29,9859241744,Corrida matinal,5.0,1876,1781.0,2.81,10.7,,,,,5.9366666666666665,356.2,5.740375123395853,27.752869082511474,90.7179217163067,40.615903154356126,2.233556677825027,17.04,32.239999999999995,8.059999999999999,4.0,12.04,6.152549021347983
2023-09-27 22:40:28,9933733089,"Fiz esse caminho duas vezes, mas esqueci de gravar a primeira",2.52,993,827.0,3.056,6.3,,,,,5.469576719576719,328.1746031746032,5.740375123395853,15.181943463227839,15.181943463227839,26.474966294883636,0.5734452423518965,2.52,19.56,4.89,3.0,12.04,4.713635720221793
2023-10-04 21:56:43,9978090810,Corrida ao entardecer,1.64,432,432.0,3.809,3.0,,146.0,,,4.390243902439025,263.4146341463415,5.740375123395853,12.309367760627683,27.491311223855522,29.552308235040556,0.930259355892164,4.16,21.2,5.3,4.0,12.04,0.20676162310209784
