week,weekly_distance_km,weekly_runs,weekly_elevation_m
2023-03-20/2023-03-26,9.2,1,41.0
2023-04-03/2023-04-09,4.61,1,14.2
2023-04-24/2023-04-30,3.26,1,2.4
2023-05-08/2023-05-14,7.43,1,34.2
2023-06-26/2023-07-02,5.05,1,8.3
2023-07-03/2023-07-09,4.25,1,33.5
2023-07-10/2023-07-16,5.1,1,2.4
2023-07-17/2023-07-23,7.23,1,19.1
2023-07-24/2023-07-30,10.13,1,28.9
2023-08-28/2023-09-03,15.2,2,37.4
2023-09-04/2023-09-10,12.04,1,155.3
2023-09-11/2023-09-17,5.0,1,10.7
2023-09-25/2023-10-01,2.52,1,6.3
2023-10-02/2023-10-08,1.64,1,3.0
2023-10-30/2023-11-05,12.29,2,27.8
2023-11-06/2023-11-12,4.4,1,2.0
2023-11-27/2023-12-03,3.29,1,4.0
2023-12-04/2023-12-10,9.99,1,0.0
2023-12-18/2023-12-24,8.66,1,2.0
2023-12-25/2023-12-31,8.07,1,139.7
2024-01-29/2024-02-04,3.92,1,7.7
2024-02-19/2024-02-25,7.4,1,11.0
2024-03-18/2024-03-24,1.22,1,0.0
2024-04-01/2024-04-07,10.07,1,15.0
2024-04-08/2024-04-14,7.37,1,10.2
2024-04-15/2024-04-21,6.34,2,4.0
2024-04-22/2024-04-28,26.0,3,36.0
2024-05-13/2024-05-19,15.19,1,26.0
2024-05-20/2024-05-26,9.94,1,26.0
2024-06-03/2024-06-09,14.11,3,12.0
2024-06-10/2024-06-16,32.150000000000006,4,53.0
2024-06-17/2024-06-23,36.28,4,82.0
2024-06-24/2024-06-30,34.81,4,54.0
2024-07-01/2024-07-07,29.91,4,36.0
2024-07-08/2024-07-14,39.47,4,57.0
2024-07-15/2024-07-21,17.189999999999998,3,15.0
2024-07-29/2024-08-04,26.02,3,30.0
2024-08-05/2024-08-11,38.14,4,58.0
2024-08-12/2024-08-18,42.68,4,81.0
2024-08-19/2024-08-25,35.29,3,102.0
2024-08-26/2024-09-01,8.06,1,22.0
2024-09-02/2024-09-08,25.5,2,28.0
2024-09-09/2024-09-15,14.7,2,11.0
2024-09-16/2024-09-22,25.88,2,89.0
2024-09-23/2024-09-29,16.08,1,73.0
2024-09-30/2024-10-06,4.58,1,12.5
2024-10-07/2024-10-13,5.38,1,20.0
2024-10-14/2024-10-20,10.03,1,15.0
2024-11-04/2024-11-10,8.03,1,15.0
2024-12-02/2024-12-08,8.33,1,37.0
2024-12-23/2024-12-29,13.02,1,30.0
2024-12-30/2025-01-05,6.79,1,16.0
2025-01-27/2025-02-02,10.629999999999999,2,18.0
2025-02-03/2025-02-09,25.509999999999998,4,44.0
2025-02-10/2025-02-16,29.130000000000003,3,61.0
2025-02-17/2025-02-23,35.68,4,76.0
2025-02-24/2025-03-02,22.689999999999998,3,77.0
2025-03-03/2025-03-09,34.83,3,90.0
2025-03-10/2025-03-16,42.769999999999996,4,104.0
2025-03-17/2025-03-23,42.86,5,74.0
2025-03-24/2025-03-30,35.22,3,86.0
2025-03-31/2025-04-06,47.36,4,168.0
2025-04-07/2025-04-13,44.769999999999996,4,73.0
2025-04-14/2025-04-20,32.0,2,41.0
2025-04-21/2025-04-27,42.97,3,132.0
2025-04-28/2025-05-04,30.57,3,244.0
2025-05-05/2025-05-11,20.36,3,45.0
2025-05-19/2025-05-25,15.0,1,51.0
2025-05-26/2025-06-01,32.15,3,75.0
2025-06-02/2025-06-08,38.269999999999996,2,186.0
2025-06-09/2025-06-15,22.38,2,87.0
2025-06-16/2025-06-22,55.150000000000006,3,234.0
2025-10-13/2025-10-19,22.259999999999998,3,115.0
2025-10-27/2025-11-02,19.439999999999998,2,131.0
2025-11-03/2025-11-09,8.899999999999999,2,97.0
2025-11-10/2025-11-16,20.240000000000002,2,138.0
2025-11-24/2025-11-30,6.16,1,11.0
2025-12-01/2025-12-07,5.06,1,56.0
2026-01-05/2026-01-11,7.62,1,25.0
2026-01-19/2026-01-25,12.9,2,39.0
2026-02-02/2026-02-08,10.2,1,0.0
2026-02-23/2026-03-01,18.78,2,105.0
2026-03-02/2026-03-08,44.06,4,148.0
2026-03-09/2026-03-15,38.370000000000005,3,196.0
2026-03-16/2026-03-22,51.01,4,269.0
2026-03-23/2026-03-29,53.370000000000005,4,81.0
2026-03-30/2026-04-05,33.519999999999996,2,66.0
2026-04-06/2026-04-12,50.99,4,73.0
2026-05-11/2026-05-17,19.130000000000003,2,23.0
2026-07-13/2026-07-19,14.14,2,18.0
2026-08-03/2026-08-09,7.11,1,8.0
2026-08-10/2026-08-16,10.01,2,19.0
2026-08-17/2026-08-23,15.03,2,26.0
2026-08-24/2026-08-30,6.51,1,18.0
2026-08-31/2026-09-06,12.16,3,12.0
2026-09-07/2026-09-13,8.57,2,35.0
