ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
20163623185,"13 sept. 2026, 19:52:31",Course à pied dans l'après-midi,Course à pied,4 tiros de 1km e o resto de 500m,3004,"5,51",,,false,,ASICS Novablast 5,activities/21313295098.fit.gz,,,3004.0,1480.0,5518.9,4.8,3.729,19.0,7.0,8.6,15.2,7.0,0.0,,,94.0,83.0,,,,444.0,392.0,,,,655252.0,,,,,,,,366.0,2648.0,,,0.0,,1.0,5582.3,1789326000.0,1.0,27.0,27.8,19.6,0.64,1013.9,4.1,7.2,146.0,0.0,1789287260.0,1789330608.0,0.125,,29680295.0,0.0,1.0,0.11,30650.0,1.0,,,,,,1.837,0.0,,,,4056.0,0.0,,385.0,229.0,3.772,,,,,,,,,,,,""
20125399385,"11 sept. 2026, 03:39:01",Course à pied de nuit,Course à pied,Levando peludo pra McDonalds pós jogo do LEÃO,1625,"3,06",,,false,,ASICS Novablast 5,activities/21272811885.fit.gz,,,1625.0,1233.0,3060.1,3.8,2.482,16.0,11.0,9.0,21.6,10.0,0.1,,,85.0,74.0,,,,289.0,258.0,,,,350616.0,,,,,,,,279.0,1625.0,,,0.0,,1.0,3102.0,1789095600.0,1.0,23.3,23.2,19.4,0.79,1015.4,2.4,4.6,129.0,0.0,1789114527.0,1789157826.0,0.0,,29680295.0,0.0,1.0,0.23,29061.0,0.0,,,,,,1.884,0.0,,,,2970.0,0.0,,136.0,174.0,2.517,,,,,,,,,,,,media/3D744237-96C1-4B3E-A7BE-B2BEBBB8FBFC.jpg|media/55EB2408-DBCA-4DA6-BE8C-685097CE28D0.jpg
20038077887,"4 sept. 2026, 20:10:13",Corrida da tarde,Course à pied,,2000,"4,13",,,false,,ASICS Novablast 5,activities/21179596057.fit.gz,,,2000.0,1978.0,4131.7,8.26,2.089,7.0,4.0,6.8,10.6,6.6,0.0,,,123.0,72.0,,,,227.0,361.0,,,,442123.0,,,,,,,,246.0,2001.0,,,0.0,,1.0,4156.5,1788552000.0,1.0,26.6,26.9,20.9,0.71,1014.3,2.8,5.4,131.0,0.0,1788509963.0,1788553079.0,0.75,,29680295.0,0.29,5.0,0.24,28288.0,0.0,,,,,,2.066,0.0,,,,4644.0,0.0,,131.0,154.0,2.101,,,,,,,,,,,,""
20037704523,"4 sept. 2026, 19:26:14",Corrida da tarde,Course à pied,,1465,"5,01",,,false,,ASICS Novablast 5,activities/21179183348.fit.gz,,,1465.0,1465.0,5011.6,7.02,3.421,5.0,7.0,10.4,13.4,5.2,0.0,,,86.0,81.0,,,,410.0,389.0,,,,600097.0,,,,,,,,408.0,1466.0,,,0.0,,1.0,5027.8,1788548400.0,1.0,27.8,28.9,21.1,0.67,1013.9,3.6,6.0,126.0,0.0,1788509963.0,1788553079.0,0.75,,29680295.0,0.33,5.0,0.26,27954.0,1.0,,,,,,3.421,0.0,,,,3930.0,0.0,,264.0,255.0,3.432,,,,,,,,,,,,""
19996662293,"1 sept. 2026, 21:02:06",Corrida ao entardecer,Course à pied,"",846,"3,02",,,false,,ASICS Novablast 5,activities/21135278920.fit.gz,,,846.0,846.0,3020.0,3.14,3.57,0.0,0.0,,,0.0,0.0,,,88.0,85.0,,,,327.0,203.0,,,,276378.0,,,,,,,,323.0,847.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,29680295.0,,,,,,,,,,,3.57,0.0,,,,2406.0,0.0,,95.0,202.0,,,,,,,,,,,,,media/7A67029D-2B45-4202-9C52-23DF262AF8A1.jpg
19962569922,"30 août 2026, 11:31:15",Corrida matinal,Course à pied,Fã nº 1 dos sinais vermelhos🛑🚦,3151,"6,51",,,false,,ASICS Novablast 5,activities/21100205595.fit.gz,,,3151.0,2079.0,6511.2,4.5,3.132,18.0,10.0,6.6,13.6,8.6,0.0,,,88.0,81.0,,,,401.0,526.0,,,,804583.0,,,,,,,,365.0,2625.0,,,0.0,,1.0,6574.2,1788087600.0,2.0,26.8,27.8,22.3,0.76,1016.8,3.8,7.4,138.0,0.0,1788078118.0,1788121117.0,0.625,,29680295.0,0.75,5.0,0.42,26505.0,3.0,,,,,,2.066,190.3,,,,5410.0,0.0,,379.0,228.0,3.162,,,,,,,,,,,,""
19841462336,"21 août 2026, 18:28:22",Afternoon  Run com o FOFINHO do Pedro Uchoas,Course à pied,"",5600,"10,01",,,false,,ASICS Novablast 5,activities/20975691990.fit.gz,,,5600.0,4205.0,10018.1,4.26,2.382,17.0,10.0,10.2,15.2,9.2,0.0,,,111.0,75.0,,,,278.0,832.0,,,,1160465.0,,,,,,,,283.0,4923.0,,,0.0,,1.0,10082.2,1787335200.0,1.0,27.9,29.4,19.2,0.59,1015.5,3.4,5.6,135.0,0.0,1787300781.0,1787343557.0,0.375,,29680295.0,0.0,1.0,0.1,30049.0,3.0,,,,,,1.789,88.0,,,,10388.0,0.0,,428.0,177.0,2.398,,,,,,,,,,,,""
19815605048,"19 août 2026, 22:02:11",Corrida ao entardecer,Course à pied,,1876,"5,02",,,false,,ASICS Novablast 5,activities/20949101821.fit.gz,,,1876.0,1432.0,5026.6,5.96,3.51,9.0,9.0,12.2,19.2,5.7,-0.1,,,87.0,83.0,,,,417.0,365.0,,,,595570.0,,,,,,,,374.0,1878.0,,,0.0,,1.0,5040.9,1787176800.0,1.0,24.7,23.8,21.0,0.8,1017.4,4.4,8.9,158.0,0.0,1787128033.0,1787170763.0,0.125,,29680295.0,0.73,5.0,0.31,23371.0,0.0,,,,,,2.679,1089.0,,,,3914.0,0.0,,285.0,234.0,3.52,,,,,,,,,,,,""
19731014712,"13 août 2026, 21:17:20",Corrida ao entardecer,Course à pied,,1865,"5,00",,,false,,ASICS Novablast 5,activities/20862153544.fit.gz,,,1865.0,1410.0,5008.1,4.46,3.552,9.0,8.0,9.6,16.4,5.7,-0.1,,,87.0,83.0,,,,422.0,367.0,,,,593564.0,,,,,,,,381.0,1866.0,,,0.0,,1.0,5030.6,1786654800.0,1.0,25.4,24.9,20.0,0.72,1016.5,3.2,6.7,156.0,0.0,1786609768.0,1786652378.0,0.0,,29680295.0,0.0,1.0,0.23,31165.0,0.0,,,,,,2.685,141.2,,,,3860.0,0.0,,293.0,238.0,3.568,,,,,,,,,,,,""
19686996040,"10 août 2026, 20:41:43",Corrida da tarde,Course à pied,,2223,"5,01",,,false,,ASICS Novablast 5,activities/20816692963.fit.gz,,,2223.0,1759.0,5018.2,4.14,2.853,10.0,3.0,7.8,14.0,6.6,0.1,,,85.0,80.0,,,,325.0,393.0,,,,570751.0,,,,,,,,298.0,2225.0,,,0.0,,1.0,5052.3,1786392000.0,1.0,26.8,26.9,21.8,0.74,1016.4,3.5,7.0,155.0,0.0,1786350629.0,1786393177.0,0.875,,29680295.0,0.67,5.0,0.29,20764.0,0.0,,,,,,2.257,181.2,,,,4672.0,0.0,,214.0,186.0,2.872,,,,,,,,,,,,""
